customer_id,tenure_days,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,support_calls_3mo,feature_usage_score,satisfaction_score,days_since_last_upgrade,churn_risk,churned
CUST_00000,861,75.87486320962597,1007.6561843213312,Monthly,Bank Transfer,0,0,0.29780742205107436,3.0071965750365717,359,0.7080725777960455,0
CUST_00001,770,69.66190478119488,1594.3956898748,Monthly,Credit Card,0,2,0.8632890161902654,1.976124002384139,169,0.04666566321361543,1
CUST_00002,700,50.933123965851856,-211.69652486099153,Annual,Electronic Check,1,2,0.4698012845155394,3.875698018345672,166,0.013264961159866528,0
CUST_00003,601,52.9872262016239,1266.6450001653786,Annual,Electronic Check,1,0,0.5932702392315026,3.4944721376798737,205,0.3910606075732408,0
CUST_00004,1026,37.44121392355035,1217.5066783943453,Monthly,Credit Card,0,4,0.8491719083650863,1.6634167606824475,251,0.045227288910538066,1
CUST_00005,296,74.46386498920046,2027.3524787431875,Monthly,Bank Transfer,0,2,0.8164245589426078,4.387748459593357,162,0.7901755405312056,0
CUST_00006,379,60.85668219790851,1001.218084012032,Monthly,Electronic Check,0,2,0.4787330051987943,2.303793375919329,98,0.5912977877077271,1
CUST_00007,726,63.55979756839332,2302.8263183136196,Monthly,Bank Transfer,0,4,0.6202723219969597,3.439135912525254,178,0.03142918568673425,0
CUST_00008,743,117.67056441224247,679.9272889513082,Annual,Credit Card,0,2,0.7271507658952973,4.108089662000961,242,0.16122128725400442,1
CUST_00009,578,35.66064229640948,2214.10357720493,Monthly,Bank Transfer,1,3,0.6486739634614891,3.132174275867239,120,0.8180147659224931,0
CUST_00010,710,11.896479048730598,1776.414355111013,Monthly,Electronic Check,1,2,1.077237180242106,3.674577812831839,112,0.06489224710898156,0
CUST_00011,442,26.62457569401917,1478.7888996406266,Monthly,Credit Card,0,2,0.7955508198867054,3.2409713552611095,125,0.1448948720912231,0
CUST_00012,730,87.85645629030041,2101.5464261494194,Monthly,Electronic Check,1,3,0.5018927349738622,2.933702270397228,348,0.8583588048137198,1
CUST_00013,764,33.98673137867735,1554.8503798448219,Annual,Credit Card,0,3,0.5324837216473771,4.1771860655821,297,0.2579416277151556,0
CUST_00014,144,69.54919869208258,2545.7142034259423,Monthly,Bank Transfer,0,0,0.41199171046324035,4.69072725611364,98,0.7003578299727713,0
CUST_00015,208,77.3528169102229,2473.6566375840885,Monthly,Bank Transfer,1,1,0.7586144946597362,2.785648581973632,348,0.2839209747374657,0
CUST_00016,878,102.31549022289514,1879.06633672943,Annual,Credit Card,1,2,0.8539954719861587,4.768389522403902,134,0.7209399242521293,1
CUST_00017,640,47.64717820041251,1616.6894819426475,Monthly,Electronic Check,1,2,0.7553381598660037,4.327183249036024,225,0.3500784076946757,0
CUST_00018,284,82.00241164247714,1815.4719611718638,Monthly,Electronic Check,1,0,0.4858215003877775,3.982472415243185,219,0.46994451399094295,0
CUST_00019,1070,60.53074429348298,2071.2003952736736,Monthly,Credit Card,0,3,0.5100961909642283,2.9031026684372474,160,0.31692200515627766,0
CUST_00020,128,38.17193004107671,202.64430324521345,Annual,Electronic Check,1,0,0.8270225101803959,2.4197991299595145,150,0.14008401523652403,1
CUST_00021,155,44.49000260559688,553.568310931958,Annual,Credit Card,0,2,0.3897132111818695,2.9895067804224045,12,0.08159418040024036,0
CUST_00022,903,93.74712656667054,1505.8450981925057,Annual,Bank Transfer,1,0,0.3878885855125461,5.500348089106104,341,0.32815266747473193,1
CUST_00023,575,56.74476773619787,1976.514921443457,Monthly,Electronic Check,1,3,0.6904712577685911,4.01869445771778,261,0.0516817211686077,0
CUST_00024,884,98.27539578896503,908.6108548359142,Monthly,Credit Card,1,2,0.6111002511561634,1.8308676409094682,345,0.02535074341545751,1
CUST_00025,117,62.285652353635356,865.1959858619114,Annual,Credit Card,1,2,0.7367711028819116,4.0778971350988344,188,0.7378969166957685,0
CUST_00026,581,38.46336467728206,2974.972638201477,Monthly,Electronic Check,0,0,0.5639991331764115,3.236594155132727,46,0.040728802318970136,0
CUST_00027,958,60.25216077586662,2997.6045443778435,Monthly,Credit Card,0,2,0.6351209104865201,4.024609000630509,249,0.933436308079483,0
CUST_00028,769,103.67085258859983,1831.099869800646,Annual,Electronic Check,1,0,0.8294325393574087,3.626094827824029,151,0.6771683423829817,1
CUST_00029,380,69.539686024387,1283.2301902658091,Annual,Electronic Check,0,3,0.7561983735470065,2.8773004801794064,336,0.6557226353807422,0
CUST_00030,605,53.21270486111577,2179.68167761682,Monthly,Credit Card,1,4,0.8103474020930148,2.789872042072516,191,0.5759245752580846,0
CUST_00031,978,74.84282067873323,278.03789933247094,Annual,Credit Card,1,3,0.702429301814645,4.430934083974079,216,0.32004960103061175,0
CUST_00032,699,72.84083779465192,1400.3798019250526,Annual,Electronic Check,1,2,0.9409845843557147,2.303339530786478,52,0.7915790437258485,1
CUST_00033,569,101.27333151757816,1823.6663160940197,Two-Year,Credit Card,1,4,0.8772403932258751,3.266296820685995,193,0.08134878064189976,1
CUST_00034,339,86.21384926360604,1689.9882012975518,Annual,Credit Card,0,3,0.23208068727132025,3.14846320137955,166,0.4242220092469763,1
CUST_00035,39,33.270727631473314,1162.2582600392025,Monthly,Bank Transfer,1,5,0.5901483636917858,1.0408066379214516,311,0.5283701212972092,1
CUST_00036,134,27.06505559634155,1979.274660663313,Monthly,Credit Card,0,3,0.6056244951764261,2.9438188541980117,142,0.45454106476777323,0
CUST_00037,656,72.33818834193949,1667.597490105887,Two-Year,Bank Transfer,1,0,0.502554158465415,3.0088364712505427,163,0.46369840493998216,0
CUST_00038,698,49.861878189768085,799.936941705506,Monthly,Electronic Check,1,0,0.5709355581605027,1.8993889909723662,219,0.2709576425151299,1
CUST_00039,909,38.59533585958715,2965.167012683483,Two-Year,Bank Transfer,0,0,0.6852777768416187,3.217778811012789,64,0.48037008186635466,0
CUST_00040,177,92.44755593094493,957.7711256052925,Monthly,Electronic Check,0,1,0.7684913836015028,5.411529606509428,132,0.9966368370739054,1
CUST_00041,1047,55.99869057041513,1998.2799458779991,Monthly,Bank Transfer,0,2,0.9120893628220935,5.041370996918182,347,0.26867248202530736,0
CUST_00042,154,-4.563384272731128,1285.38955044039,Annual,Bank Transfer,1,2,0.7827425599904148,4.842088504305915,254,0.028782676313338973,0
CUST_00043,853,87.99246157666164,1920.1693701527581,Two-Year,Bank Transfer,1,3,0.772033800427103,5.218599374013686,334,0.39654278232127016,1
CUST_00044,759,103.11814473853988,1682.0818567443935,Annual,Bank Transfer,1,2,0.725608213711692,3.018661650720275,204,0.20913079107851418,1
CUST_00045,43,62.5417738689709,1439.7570761959014,Monthly,Electronic Check,1,1,0.47974961903057756,3.987673274923294,183,0.4116612143575281,0
CUST_00046,667,45.285479073289125,1903.2372124142755,Monthly,Electronic Check,0,1,0.6785939280090884,2.464757677580626,345,0.8942172628959257,1
CUST_00047,794,75.29177981381079,2463.7080580606603,Monthly,Bank Transfer,0,1,0.870270852920102,2.879636277464448,112,0.5972780822554306,0
CUST_00048,719,80.99382445170414,1555.2044090872266,Monthly,Electronic Check,1,2,0.8702804184757658,2.5120641542034585,110,0.8444406726336288,0
CUST_00049,363,45.55462904551857,1563.585961454031,Monthly,Electronic Check,0,1,0.6626189754879181,3.452209122626462,272,0.21144800699654465,0
CUST_00050,126,98.74283270145129,2205.3118055595605,Annual,Credit Card,1,0,1.1748658806984777,4.514532692687298,263,0.5865354346607591,1
CUST_00051,748,57.238616204051716,965.2784253573855,Monthly,Bank Transfer,1,3,0.6277154321146045,3.2615066326159416,197,0.36535681967405764,0
CUST_00052,624,57.36179555262477,1169.2390089458402,Monthly,Electronic Check,1,1,0.19944809566755684,4.184642201555168,35,0.9972555347683943,0
CUST_00053,6,72.80506537966285,1432.0729340033342,Annual,Bank Transfer,1,1,0.8056633219260753,3.707503485159136,334,0.5350367320449105,1
CUST_00054,1050,83.66024280776699,890.6120674177445,Monthly,Bank Transfer,1,2,0.7519445003442964,2.595683374895591,319,0.08729017958967544,1
CUST_00055,139,61.04074062597369,1881.4624754592883,Monthly,Bank Transfer,1,3,0.5834838168730132,3.7609064338316736,318,0.6815027222239293,0
CUST_00056,785,63.56651926885126,680.9451844087565,Annual,Electronic Check,1,0,0.7903031884037939,4.143802601704318,333,0.9329380670999546,0
CUST_00057,588,78.36201903513425,1348.6338724034583,Annual,Credit Card,1,4,0.8306799475829773,2.208875611051294,61,0.3588304841235025,1
CUST_00058,1066,89.02427844327889,1173.5397015827589,Monthly,Bank Transfer,1,2,0.3839496126512945,3.516053418643931,224,0.3914821102015019,1
CUST_00059,821,69.71229116217131,2116.6921551095734,Monthly,Bank Transfer,0,2,0.8018756232672211,4.747327055231724,230,0.5731508492573887,0
CUST_00060,157,55.81278200919512,820.1245044281666,Monthly,Electronic Check,0,0,1.0019542624919247,3.902034480046922,122,0.7546352918601166,0
CUST_00061,806,20.10394184585381,2040.6469840352643,Monthly,Electronic Check,0,2,0.9660877126538165,5.499317206249804,281,0.25179905890695276,0
CUST_00062,69,41.444289170152935,955.7907302448735,Monthly,Bank Transfer,1,2,0.6462331646409648,3.0601357123845823,103,0.8721239089441515,0
CUST_00063,1004,100.64327237072158,1972.2196952494305,Two-Year,Electronic Check,1,2,0.6341452585888363,3.0297185532705564,345,0.8388980864459341,1
CUST_00064,983,115.77382203474973,1919.162133686235,Monthly,Credit Card,0,2,0.4975791249479664,1.8451433281342307,24,0.863518140612957,1
CUST_00065,386,33.885000482567435,-727.7085158256805,Two-Year,Electronic Check,0,1,0.6986693090737525,2.180854954798055,197,0.033879160246594986,1
CUST_00066,177,50.63393167658503,2224.7100891924024,Monthly,Bank Transfer,0,3,0.7219705893909488,4.62964948497237,359,0.5021950103312426,0
CUST_00067,990,49.349125895310394,2039.4243749974203,Annual,Bank Transfer,0,3,0.9079984879659659,2.4993797194270595,193,0.5344558912572469,1
CUST_00068,114,96.83434646376313,1485.6611411505169,Monthly,Credit Card,0,2,0.4778848309068342,5.2522704434236225,86,0.9789314356159612,1
CUST_00069,1032,79.4334412808647,596.7585830262167,Monthly,Bank Transfer,0,2,0.6298636944242425,3.270783948446408,95,0.9887287819554428,0
CUST_00070,814,57.7806766836184,2427.4638426913984,Annual,Credit Card,1,2,0.3660441655863199,5.264686934262719,1,0.9106240035403039,0
CUST_00071,709,40.16997538101755,846.9556727561235,Monthly,Electronic Check,0,2,0.2836141184232555,5.196456368290038,354,0.9484533069621567,0
